"pin","state","locs"
"110001","delhi","[28.23486_77.23486, 28.61586_77.21139, 28.61594_77.213, 28.61644_77.21542, 28.6165_77.20097, 28.61675_77.29344, 28.61742_77.21292, 28.61789_77.20192, 28.61986_77.20783, 28.62122_77.23803, 28.62258_77.21272, 28.62378_77.21086, 28.62678_77.20658, 28.62869_77.23386, 28.631_77.22147, 28.63306_77.20772, 28.63314_77.21794, 28.63489_77.21456, 28.64336_77.20092]"
"110002","delhi","[28.62742_77.24358, 28.62847_77.24456, 28.63178_77.24025, 28.63386_77.24622, 28.63397_77.21756, 28.64066_77.22858, 28.6445_77.22314, 28.64717_77.23994]"
"110003","delhi","[28.57706_77.22469, 28.58592_77.20956, 28.58683_77.23094, 28.58725_77.23008, 28.58892_77.24428, 28.58947_77.21892, 28.58961_77.21919, 28.60589_77.22897, 28.60922_77.23594]"
"110004","delhi","[28.62108_77.19614]"
"110005","delhi","[28.58492_77.18456, 28.64883_77.18211, 28.65003_77.19383, 28.65003_77.19383, 28.65356_77.19183, 28.65567_77.199, 28.65875_77.17733, 28.66147_77.17806]"
"110006","delhi","[28.64981_77.22633, 28.65022_77.23228, 28.65114_77.22417, 28.65572_77.23358, 28.65647_77.22472, 28.65797_77.21444, 28.65942_77.21306, 28.66242_77.23483]"
"110007","delhi","[28.66269_77.195, 28.6655_77.19667, 28.66894_77.20611, 28.67369_77.19183, 28.67633_77.21422, 28.67658_77.20883, 28.67661_77.20889, 28.67856_77.20722, 28.67897_77.19528, 28.68208_77.20806, 28.68728_77.19361, 28.68975_77.21528]"
"110008","delhi","[28.64525_77.16567, 28.64536_77.17297, 28.64722_77.16975, 28.64722_77.16975, 28.65278_77.15589]"
"110009","delhi","[28.69558_77.19011, 28.69844_77.20211, 28.69844_77.20211, 28.70628_77.18972, 28.70753_77.18806, 28.71086_77.21583, 28.71525_77.20444]"
"110010","delhi","[28.57508_77.09717, 28.57603_77.14578, 28.57783_77.12217, 28.58191_77.14116, 28.58325_77.14736, 28.5845_77.13081, 28.59569_77.13639, 28.59572_77.13644, 28.59731_77.15008, 28.59889_77.10858, 28.60142_77.16203, 28.61333_77.12497, 28.61478_77.17858]"
"110011","delhi","[28.61058_77.19869, 28.61086_77.21486, 28.61111_77.21275]"
"110012","delhi","[28.63203_77.14842, 28.63686_77.16961, 28.64019_77.16597]"
"110013","delhi","[28.58775_77.25058, 28.59122_77.24233]"
"110014","delhi","[28.57889_77.25894, 28.58156_77.25203, 28.58294_77.25203, 28.58386_77.24319]"
"110015","delhi","[28.63042_77.13525, 28.64853_77.1365, 28.64986_77.13067, 28.65236_77.13328, 28.65414_77.13564, 28.65919_77.1315, 28.66244_77.14103, 28.66456_77.07864, 28.66597_77.16478]"
"110016","delhi","[28.53731_77.19072, 28.53803_77.19358, 28.54286_77.19603, 28.54894_77.20731, 28.55122_77.20817, 28.55586_77.20214]"
"110017","delhi","[28.52133_77.21414, 28.52294_77.21447, 28.52456_77.22044, 28.52894_77.22278, 28.53464_77.20169, 28.53817_77.21503, 28.544_77.22825, 28.62092_77.20008]"
"110018","delhi","[28.63331_77.09969, 28.63464_77.08608, 28.63606_77.10358, 28.63861_77.09278, 28.63964_77.07611, 28.63967_77.09633, 28.64714_77.08531, 28.64994_77.09406, 28.65692_77.10325, 28.65733_77.10836, 28.65761_77.09994, 28.64636_77.09906]"
"110019","delhi","[28.52564_77.25417, 28.54031_77.24867, 28.54317_77.25767, 28.54981_77.32106]"
"110020","delhi","[28.52178_77.28544, 28.52558_77.28056, 28.54433_77.27967, 28.55211_77.26867, 28.55772_77.26483]"
"110021","delhi","[28.57872_77.16489, 28.58078_77.17272, 28.58297_77.1615, 28.59439_77.18628, 28.60408_77.18725, 28.61397_77.12561]"
"110022","delhi","[28.555_77.18103, 28.55511_77.17178, 28.56156_77.17922, 28.56439_77.16783, 28.56764_77.168, 28.57019_77.17131, 28.57064_77.1755, 28.57222_77.17328]"
"110023","delhi","[28.57128_77.20517, 28.57194_77.21769, 28.57583_77.19936, 28.5742_77.18763, 28.57467_77.18736, 28.57842_77.20925]"
"110024","delhi","[28.56317_77.24875, 28.56942_77.24403, 28.57406_77.243, 28.58725_77.23008]"
"110025","uttar pradesh","[28.54256_77.29317, 28.55619_77.27831, 28.56136_77.27958, 28.56186_77.26825, 28.56717_77.27878]"
"110026","delhi","[28.61986_77.09758, 28.66786_77.14344, 28.67139_77.15383, 28.67411_77.13006]"
"110027","delhi","[28.63497_77.10886, 28.63711_77.10989, 28.64269_77.12322, 28.64272_77.12325, 28.64553_77.12747, 28.64672_77.11247]"
"110028","delhi","[28.6305_77.13492, 28.63303_77.13664]"
"110029","delhi","[28.56489_77.19975, 28.56492_77.20681, 28.56856_77.19569]"
"110030","delhi","[28.48038_77.15744, 28.49697_77.14172, 28.51744_77.20553, 28.51761_77.17936, 28.52452_77.19179, 28.53036_77.18897]"
"110031","delhi","[28.653_77.27417, 28.65311_77.27072, 28.65567_77.27067, 28.65925_77.27422, 28.66061_77.26642, 28.66283_77.26769, 28.66461_77.25936]"
"110032","delhi","[28.66992_77.28883, 28.65469_77.29736, 28.65469_77.29736, 28.66683_77.29464, 28.67153_77.28311, 28.67264_77.2895, 28.67542_77.29036, 28.67742_77.29908, 28.68061_77.28594, 28.68294_77.29436, 28.6835_77.28792, 28.68731_77.28556, 28.69217_77.30422]"
"110033","delhi","[28.71269_77.17333, 28.71647_77.175, 28.72714_77.17497, 28.72775_77.16361, 28.7305_77.17547]"
"110034","delhi","[28.68192_77.13667, 28.68875_77.13211, 28.68997_77.14667, 28.69728_77.12694, 28.69728_77.12694, 28.70467_77.14472, 28.70617_77.14833]"
"110035","delhi","[12.57331_76.25618, 12.67251_77.19829, 28.39997_78.64724, 28.66942_77.17639, 28.66942_77.17639, 28.67383_77.14458, 28.67542_77.16556, 28.69211_77.15786, 28.77411_77.15472]"
"110036","delhi","[22.56478_73.66536, 28.79781_77.13, 28.77183_77.14533, 28.77344_77.16282, 28.79248_77.16231, 28.79907_77.17973, 28.81294_77.14027, 28.81294_77.1403, 28.82196_77.17452, 28.84224_77.18615]"
"110037","delhi","[28.53028_77.11553, 28.54534_77.13049, 28.54554_77.12871, 28.55564_77.08456, 28.57456_77.09756]"
"110038","delhi","[28.51939_77.14981]"
"110039","delhi","[28.76254_77.06217, 28.76985_77.04628, 28.79916_76.9578, 28.79969_77.03806, 28.80348_76.97697, 28.80868_77.00755, 28.81833_76.97438, 28.82205_76.99433, 28.83115_77.04896, 28.83409_77.007]"
"110040","delhi","[28.8299_77.09401, 28.83575_77.11662, 28.85078_77.0657, 28.85081_77.08806, 28.85138_77.13003, 28.85209_77.07867, 28.85419_77.08884, 28.86867_77.10347]"
"110041","delhi","[28.15153_77.04964, 28.6521_77.05627, 28.65877_77.03783, 28.66853_77.02011, 28.67161_76.99836, 28.6778_77.03105, 28.67958_77.06606, 28.68297_77.07181, 28.68339_77.05761, 28.68369_76.96956]"
"110042","delhi","[28.73339_77.14347, 28.74411_77.145, 28.74636_77.11853, 28.7504_77.08011, 28.75702_77.12859]"
"110043","delhi","[22.89104_76.91983, 24.97273_86.21597, 25.3296_88.32742, 26.3673_79.36831, 26.95077_80.59345, 27.06953_93.97421, 28.441_77.95122, 28.51849_76.96424, 28.5466_76.96205, 28.56741_76.96191, 28.59016_76.97757, 28.59208_77.00699, 28.59499_76.99128, 28.59596_76.97057, 28.59665_76.93598, 28.60748_76.94651, 28.60914_76.95666, 28.62454_76.91774, 28.62462_77.0116, 28.64101_76.98461, 28.64886_77.02806, 31.06337_75.78491, 31.10321_76.21222]"
"110044","delhi","[28.50418_77.3023, 28.50419_77.30214, 28.50422_77.30222, 28.50422_77.30226, 28.50422_77.30226, 28.50422_77.30233, 28.50492_77.28911, 28.50861_77.301, 28.51097_77.3355, 28.51438_77.26893]"
"110045","delhi","[28.59117_77.09056, 28.59117_77.09056, 28.59117_77.09056, 28.5966_77.10115, 28.61051_77.08623, 28.61106_77.10292]"
"110046","delhi","[28.61106_77.10292, 28.61106_77.10881]"
"110047","delhi","[28.45714_77.14801, 28.46419_77.15217, 28.47978_77.11794, 28.48063_77.1325]"
"110048","delhi","[28.53767_77.23814, 28.54047_77.23467, 28.54717_77.24381]"
"110049","delhi","[28.54456_77.21258, 28.54839_77.21495, 28.55719_77.22267, 28.55786_77.21319, 28.56403_77.23242, 28.59114_77.31775]"
"110051","delhi","[28.64536_77.28711, 28.64572_77.29981, 28.64572_77.29981, 28.66583_77.28492, 28.68731_77.28556]"
"110052","delhi","[28.67264_77.18111, 28.67444_77.17436, 28.67975_77.17214, 28.69308_77.18231, 28.69336_77.17139]"
"110053","delhi","[28.67378_77.27639, 28.67897_77.27308, 28.68453_77.25738, 28.68708_77.25911, 28.68719_77.26331, 28.69225_77.27056, 28.69928_77.25599, 28.70067_77.27764, 28.70208_77.26425]"
"110054","delhi","[28.66436_77.21933, 28.6845_77.22475, 28.69747_77.2251, 28.70328_77.22286, 28.70603_77.22178]"
"110055","delhi","[28.64017_77.21292, 28.64489_77.20206, 28.64608_77.20253, 28.64611_77.20942]"
"110056","delhi","[28.68272_77.11111]"
"110057","delhi","[28.55789_77.15575, 28.568_77.15942]"
"110058","delhi","[28.6115_77.09708, 28.61986_77.09758, 28.62211_77.07906, 28.62411_77.07936, 28.62856_77.09933]"
"110059","delhi","[28.6116_77.06004, 28.61175_77.04629, 28.6215_77.04153, 28.62708_77.88442, 28.63558_77.04398]"
"110060","delhi","[28.63672_77.18311]"
"110061","delhi","[28.53311_77.51939, 28.55862_77.073]"
"110062","delhi","[28.50233_77.22972, 28.50378_77.24994, 28.51003_77.25428, 28.51053_77.24242, 28.51256_77.25106, 28.51517_77.22547, 28.51553_77.23747, 28.52011_77.23975, 28.52233_77.22981, 28.52272_77.24044, 28.52761_77.23281]"
"110063","delhi","[28.66325_77.10881, 28.66672_77.11906, 28.67053_77.10222, 28.67358_77.12261]"
"110064","delhi","[28.624_77.11306, 28.61811_77.12189, 28.62344_77.10761, 28.62878_77.12261, 28.63178_77.12592]"
"110065","delhi","[28.55794_77.24597, 28.55936_77.25681, 28.55939_77.25131, 28.56469_77.25558, 28.56925_77.25356]"
"110066","delhi","[28.55981_77.17653, 28.56531_77.17975]"
"110067","delhi","[28.53936_77.1635, 28.55075_77.17928, 28.55508_77.17622]"
"110068","delhi","[28.49651_77.19222, 28.50122_77.20031]"
"110069","delhi","[28.60931_77.22914]"
"110070","delhi","[28.51397_77.1655, 28.52717_77.15397, 28.5285_77.15789]"
"110071","delhi","[28.53019_76.98597, 28.54771_76.9883, 28.56125_77.00186, 28.575_77.02711]"
"110072","delhi","[28.63592_77.96058, 28.65245_76.95112]"
"110073","delhi","[25.5766_86.03626, 27.2294_75.64739, 27.44892_75.48521, 27.4515_75.48856, 28.52327_76.9021, 28.52918_76.8799, 28.53292_76.92727, 28.54913_76.90194, 28.55475_76.86483, 28.556_76.86662, 28.57094_76.90769, 28.57571_76.86621, 28.57781_76.88078, 28.58184_76.93667, 28.58966_76.92074, 29.07797_77.10669, 29.47171_76.66219]"
"110074","delhi","[28.42977_77.22208, 28.44474_77.18051, 28.45834_77.18423, 28.4687_77.18326, 28.47504_77.20695, 28.48278_77.18896, 28.50731_77.18456]"
"110075","delhi","[28.5788_77.05009, 28.58117_77.05867, 28.60686_77.04153]"
"110076","delhi","[28.51659_77.30771, 28.53467_77.30118, 28.53483_77.29117]"
"110077","delhi","[28.54373_77.0455, 28.5534_77.03189, 28.57481_77.07872]"
"110078","delhi","[28.61227_77.0242, 28.61022_77.03767, 28.61039_77.038]"
"110080","delhi","[28.50126_77.23188]"
"110081","delhi","[28.73492_77.00556]"
"110082","delhi","[28.77217_77.119, 28.77529_77.09734, 28.78411_77.09156, 28.80408_77.09621]"
"110083","delhi","[28.69047_77.08228, 28.69367_77.09, 28.69386_77.09361, 28.71478_77.08783]"
"110084","delhi","[28.72201_77.22317, 28.72948_77.20698, 28.73843_77.22013, 28.74784_77.20019, 28.75722_77.19778, 28.76918_77.17676]"
"110085","delhi","[28.70775_77.132, 28.70803_77.11706, 28.70803_77.11708, 28.71572_77.11008, 28.71575_77.11, 28.71689_77.13806]"
"110086","delhi","[28.69003_77.06858, 28.69636_77.07642, 28.70142_77.07969, 28.70161_77.07972]"
"110087","delhi","[28.66639_77.08817, 28.67722_77.09338, 28.68003_77.07875]"
"110088","delhi","[28.71217_77.15119, 28.72467_77.14694]"
"110089","delhi","[28.73481_77.1325]"
"110091","delhi","[28.60539_77.30733, 28.607_77.29458, 28.61389_77.29356, 28.61436_77.29003, 28.61469_77.31781, 28.61983_77.31211, 28.59503_77.30152]"
"110092","delhi","[28.627_77.20633, 28.627_77.28503, 28.63356_77.28025, 28.63364_77.31119, 28.635_77.28956, 28.65222_77.30644, 28.66178_77.30597, 28.66183_77.31781]"
"110093","delhi","[28.69211_77.30422, 28.69458_77.30786, 28.69525_77.29533, 28.6968_77.31956, 28.70219_77.32364, 28.70542_77.30368]"
"110094","delhi","[28.5647_77.25596, 28.70394_77.28331, 28.71448_77.28395, 28.7145_77.28396, 28.72594_77.27264, 28.72628_77.24769, 28.73158_77.26208, 28.75007_77.25919]"
"110095","delhi","[28.67211_77.30697, 28.67392_77.31983, 28.67597_77.32678, 28.67947_77.30869, 28.68056_77.33033, 28.68881_77.30769, 28.68917_77.3285]"
"110096","delhi","[28.60864_77.33642, 28.62219_77.31672, 28.6323_77.31751]"
"110097","delhi","[28.52894_77.08649]"
"121001","haryana","[28.12819_77.8165, 28.20047_77.20583, 28.24906_77.74983, 28.35342_77.69486, 28.38758_77.29989, 28.39178_77.30214, 28.402_77.29219, 28.43902_77.29844, 28.54614_77.28147]"
"121002","haryana","[28.4005_77.32808, 28.41825_77.32564, 28.42116_77.38647, 28.43247_77.40377, 28.46056_77.32017, 28.70808_77.27192]"
"121003","haryana","[28.45136_77.30794, 28.46277_77.26578, 28.46715_77.32487, 28.47347_77.30503, 28.47419_77.29434]"
"121004","haryana","[28.18684_77.44539, 28.22254_77.44594, 28.23239_77.39557, 28.25651_77.37206, 28.25653_77.288, 28.25921_77.34587, 28.2599_77.4622, 28.26599_77.39963, 28.27578_77.32905, 28.27593_77.28768, 28.29568_77.4188, 28.30213_77.3916, 28.3125_77.37126, 28.32406_77.24124, 28.3365_77.21017, 28.33817_77.32292, 28.34085_77.19845, 28.34316_77.28503, 28.34316_77.28507, 28.34336_77.32147, 28.34975_77.36078, 28.35094_77.34556, 28.35846_77.371, 28.35854_77.37102, 28.3787_77.34156]"
"121005","haryana","[28.36961_77.28664, 28.97003_77.81878]"
